Trials,Precision,Regret,CumulativeRegret
859,98.8,0.160,596.520
860,99.2,0.191,596.710
861,99.2,0.170,596.880
862,99.0,0.175,597.055
863,99.4,0.166,597.221
864,99.6,0.141,597.362
865,99.6,0.168,597.530
866,99.4,0.230,597.760
867,99.2,0.167,597.927
868,99.6,0.201,598.128
869,99.2,0.210,598.338
870,99.4,0.171,598.508
871,99.4,0.204,598.712
872,99.4,0.177,598.889
873,99.4,0.182,599.071
874,99.4,0.196,599.267
875,99.4,0.215,599.482
876,99.4,0.151,599.633
877,99.4,0.169,599.802
878,99.0,0.184,599.986
879,99.2,0.141,600.127
880,99.6,0.150,600.277
881,99.4,0.187,600.465
882,99.6,0.210,600.675
883,99.6,0.172,600.847
884,99.4,0.159,601.006
885,99.6,0.159,601.165
886,99.0,0.207,601.372
887,99.6,0.210,601.582
888,99.4,0.158,601.740
889,99.2,0.217,601.958
890,99.4,0.117,602.074
891,98.8,0.179,602.253
892,98.8,0.257,602.510
893,99.2,0.187,602.697
894,99.2,0.215,602.912
895,99.4,0.173,603.085
896,99.2,0.157,603.242
897,99.0,0.188,603.430
898,99.2,0.206,603.635
899,99.0,0.173,603.808
900,99.4,0.168,603.976
901,99.4,0.229,604.205
902,99.4,0.198,604.403
903,99.4,0.182,604.585
904,99.2,0.190,604.775
905,99.4,0.177,604.951
906,99.0,0.181,605.132
907,99.0,0.174,605.306
908,99.0,0.202,605.508
909,99.0,0.175,605.683
910,99.2,0.142,605.825
911,99.4,0.257,606.083
912,99.4,0.162,606.244
913,99.6,0.182,606.426
914,99.2,0.136,606.562
915,99.2,0.180,606.742
916,99.4,0.239,606.981
917,99.4,0.131,607.112
918,99.2,0.174,607.285
919,99.4,0.209,607.494
920,99.4,0.189,607.684
921,99.4,0.188,607.871
922,99.2,0.161,608.032
923,99.0,0.166,608.198
924,99.0,0.148,608.346
925,99.4,0.144,608.490
926,99.6,0.192,608.682
927,99.4,0.206,608.889
928,99.6,0.157,609.045
929,99.4,0.157,609.203
930,99.2,0.158,609.360
931,99.2,0.118,609.478
932,99.4,0.218,609.697
933,98.8,0.176,609.873
934,99.6,0.161,610.034
935,99.4,0.138,610.172
936,99.0,0.139,610.310
937,99.0,0.156,610.467
938,99.6,0.189,610.656
939,99.6,0.179,610.835
940,99.4,0.176,611.011
941,99.4,0.193,611.204
942,99.6,0.163,611.368
943,99.4,0.176,611.544
944,99.2,0.185,611.729
945,99.2,0.148,611.877
946,99.4,0.171,612.048
947,99.4,0.112,612.159
948,99.0,0.160,612.319
949,99.6,0.161,612.480
950,98.8,0.177,612.657
951,99.6,0.161,612.818
952,99.6,0.184,613.002
953,99.6,0.135,613.137
954,99.4,0.138,613.275
955,99.0,0.203,613.478
956,99.6,0.135,613.613
957,99.4,0.191,613.803
958,99.2,0.128,613.932
959,99.4,0.175,614.106
960,99.4,0.128,614.234
961,99.2,0.153,614.387
962,99.4,0.233,614.620
963,99.2,0.142,614.762
964,99.4,0.191,614.953
965,99.2,0.107,615.059
966,99.4,0.147,615.207
967,99.4,0.187,615.394
968,99.6,0.178,615.572
969,99.4,0.129,615.701
970,99.2,0.173,615.874
971,99.8,0.131,616.005
972,99.2,0.149,616.154
973,99.4,0.136,616.290
974,99.4,0.136,616.425
975,99.4,0.189,616.614
976,99.6,0.140,616.755
977,99.6,0.183,616.938
978,99.6,0.162,617.100
979,99.4,0.160,617.260
980,99.6,0.158,617.419
981,99.2,0.180,617.598
982,99.4,0.174,617.773
983,99.4,0.132,617.905
984,99.4,0.273,618.178
985,99.2,0.173,618.351
986,99.6,0.200,618.551
987,99.4,0.140,618.691
988,99.6,0.151,618.842
